Name,Rtg,Pos,Club,League,Nationality,PAC,SHO,PAS,DRI,DEF,PHY,WF,Skill,AW,DW,Min,Max
Kevin De Bruyne,91,CAM,Manchester City,Premier League,BEL,77,86,92,87,60,78,5★,4★,H,H,4.4K,80K
Eden Hazard,91,LW,Chelsea,Premier League,BEL,91,82,86,94,35,67,4★,4★,H,M,6K,110K
Harry Kane,90,ST,Tottenham Hotspur,Premier League,ENG,70,91,81,81,47,85,4★,3★,H,H,0,0
N'Golo Kanté,89,CDM,Chelsea,Premier League,FRA,80,66,77,81,87,84,3★,2★,M,H,2.9K,55K
Harry Kane,89,ST,Tottenham Hotspur,Premier League,ENG,70,90,79,81,47,83,4★,3★,H,H,2.3K,42.5K
David Silva,89,CAM,Manchester City,Premier League,ESP,66,74,87,91,50,60,2★,4★,H,M,2.4K,45K
Sergio Agüero,89,ST,Manchester City,Premier League,ARG,84,89,76,89,28,73,4★,4★,H,M,4.8K,90K
Pierre-Emerick Aubameyang,88,ST,Arsenal,Premier League,GAB,94,85,76,82,37,71,4★,4★,M,L,0,0
Virgil van Dijk,88,CB,Liverpool,Premier League,NED,75,61,69,72,87,86,3★,2★,M,M,0,0
Gonzalo Higuaín,88,ST,Chelsea,Premier League,ARG,73,87,70,83,31,74,4★,3★,H,M,0,0
Mohamed Salah,88,RW,Liverpool,Premier League,EGY,92,84,79,89,45,72,3★,4★,H,M,700,13K
Paul Pogba,88,CM,Manchester United,Premier League,FRA,75,79,86,85,69,87,4★,5★,H,L,6.2K,120K
Christian Eriksen,88,CAM,Tottenham Hotspur,Premier League,DEN,74,82,89,86,53,64,5★,4★,H,M,1.6K,30K
Fernandinho,87,CDM,Manchester City,Premier League,BRA,67,74,80,79,85,80,4★,3★,M,H,0,0
Raheem Sterling,87,RW,Manchester City,Premier League,ENG,93,77,79,88,47,57,3★,4★,H,M,0,0
Toby Alderweireld,87,CB,Tottenham Hotspur,Premier League,BEL,65,57,74,69,89,79,3★,2★,M,M,0,0
Romelu Lukaku,87,ST,Manchester United,Premier League,BEL,84,84,76,75,35,87,4★,3★,M,M,2.3K,42.5K
Pierre-Emerick Aubameyang,87,ST,Arsenal,Premier League,GAB,94,84,75,80,37,70,4★,4★,M,L,2K,37.5K
Alexis Sánchez,87,LW,Manchester United,Premier League,CHI,82,83,79,89,45,77,3★,4★,H,H,2.7K,50K
Jan Vertonghen,87,CB,Tottenham Hotspur,Premier League,BEL,63,63,73,72,88,79,3★,3★,H,H,1.5K,27.5K
Leroy Sané,86,LW,Manchester City,Premier League,GER,95,81,78,86,38,70,3★,4★,H,M,700,10K
Sadio Mané,86,LW,Liverpool,Premier League,SEN,94,80,76,87,42,73,4★,4★,H,M,700,12K
Roberto Firmino,86,CF,Liverpool,Premier League,BRA,77,83,80,86,61,78,4★,4★,H,H,700,13K
Nicolás Otamendi,86,CB,Manchester City,Premier League,ARG,60,57,63,61,86,80,3★,2★,H,H,700,10K
Nemanja Matić,86,CDM,Manchester United,Premier League,SRB,56,71,79,76,83,83,3★,3★,M,H,700,10K
Azpilicueta,86,CB,Chelsea,Premier League,ESP,76,55,78,74,87,77,3★,2★,M,M,1.5K,27.5K
Mesut Özil,86,CAM,Arsenal,Premier League,GER,70,73,86,84,24,58,2★,4★,M,L,1.9K,35K
Fernandinho,86,CDM,Manchester City,Premier League,BRA,67,74,78,79,83,79,4★,3★,M,H,700,10K
Heung Min Son,85,LM,Tottenham Hotspur,Premier League,KOR,87,86,78,86,42,68,5★,4★,H,H,0,0
Alexandre Lacazette,85,ST,Arsenal,Premier League,FRA,83,84,72,84,40,74,4★,4★,H,M,0,0
Fabinho,85,CDM,Liverpool,Premier League,BRA,71,69,78,77,84,84,2★,3★,M,M,700,10K
Riyad Mahrez,85,RW,Manchester City,Premier League,ALG,85,79,81,90,37,59,4★,5★,M,M,700,10K
Virgil van Dijk,85,CB,Liverpool,Premier League,NED,71,60,67,70,85,84,3★,2★,M,M,700,12K
Raheem Sterling,85,RW,Manchester City,Premier League,ENG,93,73,76,87,47,56,3★,4★,H,M,700,10K
Toby Alderweireld,85,CB,Tottenham Hotspur,Premier League,BEL,62,57,72,66,88,78,3★,2★,M,M,1.6K,27.5K
Vincent Kompany,85,CB,Manchester City,Premier League,BEL,56,54,65,66,85,81,3★,2★,M,H,1.3K,24K
Aymeric Laporte,84,CB,Manchester City,Premier League,FRA,65,50,69,64,86,77,3★,2★,M,M,0,0
Anthony Martial,84,LW,Manchester United,Premier League,FRA,90,83,73,87,42,73,3★,4★,M,M,0,0
Felipe Anderson,84,LM,West Ham United,Premier League,BRA,92,78,80,89,57,62,4★,4★,H,H,0,0
Davinson Sánchez,84,CB,Tottenham Hotspur,Premier League,COL,76,45,55,67,84,82,3★,2★,M,H,650,10K
Bernardo Silva,84,RW,Manchester City,Premier League,POR,78,72,83,89,46,58,3★,4★,H,M,700,12K
Dele Alli,84,CAM,Tottenham Hotspur,Premier League,ENG,75,81,78,82,65,78,3★,4★,H,M,950,18K
Jorginho,84,CM,Chelsea,Premier League,ITA,72,64,84,82,69,71,3★,4★,M,M,650,10K
Heung Min Son,84,LM,Tottenham Hotspur,Premier League,KOR,86,85,76,85,42,68,5★,4★,H,H,700,10K
Alexandre Lacazette,84,ST,Arsenal,Premier League,FRA,81,82,72,84,40,72,4★,4★,H,M,1.2K,21K
Henrikh Mkhitaryan,84,CAM,Arsenal,Premier League,ARM,82,78,79,85,52,69,5★,4★,M,M,1.5K,27.5K
Kyle Walker,84,RB,Manchester City,Premier League,ENG,90,63,75,77,81,80,2★,2★,H,H,1K,18K
İlkay Gündoğan,84,CM,Manchester City,Premier League,GER,68,74,83,84,69,70,4★,4★,H,M,1.3K,23K
Willian,84,RW,Chelsea,Premier League,BRA,88,77,80,86,49,62,4★,4★,H,H,700,12K
Sokratis,84,CB,Arsenal,Premier League,GRE,69,51,50,61,84,82,2★,2★,M,H,1.5K,27.5K
Cesc Fàbregas,84,CM,Chelsea,Premier League,ESP,55,74,88,80,60,58,3★,3★,H,M,1.4K,25K
Moussa Dembélé,84,CM,Tottenham Hotspur,Premier League,BEL,72,70,77,87,78,82,2★,4★,M,M,700,10K
Andrew Robertson,83,LB,Liverpool,Premier League,SCO,85,60,74,77,80,76,2★,3★,H,H,0,0
Gabriel Jesus,83,ST,Manchester City,Premier League,BRA,86,80,72,86,39,73,3★,4★,H,H,650,10K
Naby Keïta,83,CM,Liverpool,Premier League,GUI,68,73,78,87,64,68,4★,4★,H,M,700,10K
Aymeric Laporte,83,CB,Manchester City,Premier League,FRA,65,50,67,62,85,76,3★,2★,M,M,850,16K
