Name,Rtg,Pos,Club,League,Nationality,PAC,SHO,PAS,DRI,DEF,PHY,WF,Skill,AW,DW,Min,Max
Kevin De Bruyne,91,CAM,Manchester City,Premier League,BEL,76,86,92,87,61,78,5★,4★,H,H,0,0
Mohamed Salah,90,RW,Liverpool,Premier League,EGY,93,86,81,89,45,74,3★,4★,H,M,0,0
Virgil van Dijk,90,CB,Liverpool,Premier League,NED,77,60,70,72,90,86,3★,2★,M,M,0,0
N'Golo Kanté,89,CDM,Chelsea,Premier League,FRA,78,65,77,81,87,83,3★,2★,M,H,0,0
Harry Kane,89,ST,Tottenham Hotspur,Premier League,ENG,70,91,79,81,47,83,4★,3★,H,H,0,0
Sergio Agüero,89,ST,Manchester City,Premier League,ARG,80,90,77,88,33,74,4★,4★,H,M,0,0
Sadio Mané,88,LW,Liverpool,Premier League,SEN,94,83,77,88,44,74,4★,4★,H,M,0,0
Raheem Sterling,88,RW,Manchester City,Premier League,ENG,93,79,78,89,45,57,3★,4★,H,M,0,0
Paul Pogba,88,CM,Manchester United,Premier League,FRA,74,81,86,85,66,86,4★,5★,H,M,0,0
Christian Eriksen,88,CAM,Tottenham Hotspur,Premier League,DEN,73,81,90,84,53,63,5★,4★,H,H,0,0
Pierre-Emerick Aubameyang,88,ST,Arsenal,Premier League,GAB,94,85,75,80,37,69,4★,4★,M,L,0,0
David Silva,88,CAM,Manchester City,Premier League,ESP,65,74,88,89,52,57,2★,4★,H,M,0,0
Bernardo Silva,87,RW,Manchester City,Premier League,POR,81,76,83,92,51,67,3★,4★,H,H,0,0
Aymeric Laporte,87,CB,Manchester City,Premier League,FRA,64,50,71,69,88,82,3★,2★,M,M,0,0
Heung Min Son,87,CF,Tottenham Hotspur,Premier League,KOR,88,86,80,87,42,68,5★,4★,H,H,0,0
Toby Alderweireld,87,CB,Tottenham Hotspur,Premier League,BEL,64,55,72,67,88,79,3★,2★,M,M,0,0
Jan Vertonghen,87,CB,Tottenham Hotspur,Premier League,BEL,63,63,74,73,87,79,3★,3★,H,H,0,0
Fernandinho,87,CDM,Manchester City,Premier League,BRA,66,74,79,79,84,79,4★,3★,M,H,0,0
Leroy Sané,86,LW,Manchester City,Premier League,GER,95,81,79,86,38,70,3★,4★,H,M,0,0
Roberto Firmino,86,CF,Liverpool,Premier League,BRA,77,82,80,87,61,78,4★,4★,H,H,0,0
Alexandre Lacazette,86,ST,Arsenal,Premier League,FRA,82,85,75,86,40,74,4★,4★,H,H,0,0
Rodri,85,CDM,Manchester City,Premier League,ESP,67,68,77,78,82,80,4★,3★,M,H,0,0
Andrew Robertson,85,LB,Liverpool,Premier League,SCO,85,62,77,79,80,75,2★,3★,H,H,0,0
Fabinho,85,CDM,Liverpool,Premier League,BRA,68,69,78,77,85,83,2★,3★,M,H,0,0
Dele Alli,84,CAM,Tottenham Hotspur,Premier League,ENG,72,81,79,82,71,79,3★,4★,H,H,0,0
João Cancelo,84,RB,Manchester City,Premier League,POR,90,65,80,84,78,71,3★,4★,H,M,0,0
Riyad Mahrez,84,RW,Manchester City,Premier League,ALG,84,78,79,89,38,59,4★,5★,M,M,0,0
Felipe Anderson,84,LM,West Ham United,Premier League,BRA,89,77,79,88,55,61,4★,4★,H,M,0,0
Kyle Walker,84,RB,Manchester City,Premier League,ENG,91,63,76,77,81,81,2★,2★,H,H,0,0
İlkay Gündoğan,84,CM,Manchester City,Premier League,GER,66,74,84,84,72,71,4★,4★,H,M,0,0
Azpilicueta,84,RB,Chelsea,Premier League,ESP,70,55,77,73,85,76,3★,2★,M,M,0,0
Georginio Wijnaldum,84,CM,Liverpool,Premier League,NED,77,73,78,85,76,78,3★,4★,H,H,0,0
Mesut Özil,84,CAM,Arsenal,Premier League,GER,70,72,86,84,24,56,2★,4★,M,L,0,0
Sokratis,84,CB,Arsenal,Premier League,GRE,72,51,52,61,84,83,2★,2★,M,H,0,0
João Moutinho,84,CM,Wolverhampton Wanderers,Premier League,POR,56,75,85,82,71,67,4★,3★,H,H,0,0
Marcus Rashford,83,ST,Manchester United,Premier League,ENG,92,82,73,83,45,77,3★,5★,H,H,0,0
Trent Alexander-Arnold,83,RB,Liverpool,Premier League,ENG,80,62,82,78,78,70,4★,3★,H,M,0,0
Giovani Lo Celso,83,CM,Tottenham Hotspur,Premier League,ARG,77,78,82,84,65,72,3★,4★,H,M,0,0
Nicolas Pépé,83,RM,Arsenal,Premier League,IVC,91,81,75,85,33,67,3★,4★,H,L,0,0
Davinson Sánchez,83,CB,Tottenham Hotspur,Premier League,COL,74,45,57,67,83,81,3★,2★,M,H,0,0
Anthony Martial,83,LW,Manchester United,Premier League,FRA,89,81,72,85,41,71,3★,4★,M,L,0,0
Sébastien Haller,83,ST,West Ham United,Premier League,FRA,72,81,62,76,51,82,2★,3★,H,M,0,0
Jorginho,83,CM,Chelsea,Premier League,ITA,55,63,84,81,70,73,3★,3★,M,M,0,0
John Stones,83,CB,Manchester City,Premier League,ENG,68,36,70,72,84,77,4★,3★,H,M,0,0
Lucas Moura,83,CF,Tottenham Hotspur,Premier League,BRA,92,79,76,87,42,66,4★,4★,H,M,0,0
Lucas Digne,83,LB,Everton,Premier League,FRA,78,69,79,79,80,76,3★,3★,H,M,0,0
Wilfried Zaha,83,CF,Crystal Palace,Premier League,IVC,91,76,72,87,27,74,3★,5★,H,L,0,0
Nicolás Otamendi,83,CB,Manchester City,Premier League,ARG,56,57,63,61,83,78,3★,2★,M,H,0,0
Gylfi Sigurðsson,83,CAM,Everton,Premier League,ICE,56,81,84,81,57,69,4★,3★,H,H,0,0
Jordan Henderson,83,CDM,Liverpool,Premier League,ENG,64,70,83,77,78,80,3★,3★,H,H,0,0
David Luiz,83,CB,Arsenal,Premier League,BRA,61,65,74,71,82,77,3★,3★,M,M,0,0
Gabriel Jesus,82,ST,Manchester City,Premier League,BRA,85,80,72,86,39,71,3★,4★,H,H,0,0
Rúben Neves,82,CM,Wolverhampton Wanderers,Premier League,POR,62,74,83,76,70,73,4★,3★,M,H,0,0
Lucas Torreira,82,CDM,Arsenal,Premier League,URU,75,67,77,80,81,75,3★,3★,M,H,0,0
Naby Keïta,82,CM,Liverpool,Premier League,GUI,71,73,76,88,65,66,4★,4★,H,M,0,0
Ricardo Pereira,82,RB,Leicester City,Premier League,POR,86,64,77,81,79,73,4★,3★,H,H,0,0
Jamie Vardy,82,ST,Leicester City,Premier League,ENG,88,81,65,75,55,75,3★,3★,H,H,0,0
Jesse Lingard,82,CAM,Manchester United,Premier League,ENG,80,78,76,83,58,72,3★,4★,H,H,0,0
Mateo Kovačić,82,CM,Chelsea,Premier League,CRO,76,68,81,86,67,70,4★,4★,H,H,0,0
Antonio Rüdiger,82,CB,Chelsea,Premier League,GER,72,43,67,64,82,78,3★,2★,M,H,0,0
Harry Maguire,82,CB,Manchester United,Premier League,ENG,50,53,64,70,81,84,3★,2★,H,H,0,0
Joel Matip,82,CB,Liverpool,Premier League,CAM,61,46,68,67,83,76,2★,2★,M,M,0,0
Xherdan Shaqiri,82,RW,Liverpool,Premier League,SUI,80,77,81,85,46,69,4★,5★,M,M,0,0
Pedro,82,RW,Chelsea,Premier League,ESP,75,77,77,83,43,56,5★,4★,H,H,0,0
Willian,82,RW,Chelsea,Premier League,BRA,85,78,80,85,49,60,4★,4★,H,H,0,0
Olivier Giroud,82,ST,Chelsea,Premier League,FRA,46,81,71,73,42,79,3★,3★,M,M,0,0
Juan Mata,82,CAM,Manchester United,Premier League,ESP,62,74,83,83,36,47,3★,4★,M,M,0,0
Tanguy Ndombele,81,CM,Tottenham Hotspur,Premier League,FRA,80,65,78,87,70,78,3★,4★,M,M,0,0
Wilfred Ndidi,81,CDM,Leicester City,Premier League,NIG,71,62,67,74,83,82,4★,3★,M,H,0,0
Dani Ceballos,81,CM,Arsenal,Premier League,ESP,69,67,79,84,68,68,3★,4★,H,M,0,0
Victor Lindelöf,81,CB,Manchester United,Premier League,SWE,74,50,72,73,82,78,4★,3★,M,H,0,0
Abdoulaye Doucouré,81,CDM,Watford,Premier League,FRA,69,74,73,76,79,82,3★,3★,H,M,0,0
Ryan Fraser,81,LM,Bournemouth,Premier League,SCO,90,73,78,83,46,61,4★,3★,H,M,0,0
Luka Milivojević,81,CDM,Crystal Palace,Premier League,SRB,55,67,76,68,78,84,2★,2★,M,H,0,0
Luke Shaw,81,LB,Manchester United,Premier League,ENG,82,54,75,80,80,78,2★,3★,H,M,0,0
Granit Xhaka,81,CM,Arsenal,Premier League,SUI,51,67,81,71,69,78,3★,3★,M,M,0,0
Marcos Alonso,81,LB,Chelsea,Premier League,ESP,66,73,79,77,79,79,3★,3★,H,L,0,0
Nemanja Matić,81,CDM,Manchester United,Premier League,SRB,48,68,77,72,80,78,3★,3★,M,M,0,0
Moussa Sissoko,81,CM,Tottenham Hotspur,Premier League,FRA,80,70,78,79,79,89,3★,3★,H,H,0,0
James Milner,81,CM,Liverpool,Premier League,ENG,61,70,82,78,77,78,4★,3★,H,H,0,0
Pablo Fornals,81,CAM,West Ham United,Premier League,ESP,67,76,79,80,71,68,3★,4★,H,M,0,0
